127.0.0.1 - - [02/May/2024:11:36:05 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/index.jsp HTTP/1.1" 200 85809
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/css/style.css HTTP/1.1" 200 9918
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/hero-img-2.jpg HTTP/1.1" 200 75084
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/hero-img-1.png HTTP/1.1" 200 113538
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/lib/lightbox/css/lightbox.min.css HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/css/bootstrap.min.css HTTP/1.1" 200 166446
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/fruite-item-5.jpg HTTP/1.1" 200 26857
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/lib/easing/easing.min.js HTTP/1.1" 200 2303
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/lib/waypoints/waypoints.min.js HTTP/1.1" 200 9028
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/fruite-item-2.jpg HTTP/1.1" 200 48392
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/lib/lightbox/js/lightbox.min.js HTTP/1.1" 200 9754
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/js/main.js HTTP/1.1" 200 3767
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/fruite-item-4.jpg HTTP/1.1" 200 35753
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/fruite-item-1.jpg HTTP/1.1" 200 38581
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/fruite-item-3.jpg HTTP/1.1" 200 26051
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/featur-1.jpg HTTP/1.1" 200 30070
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/fruite-item-6.jpg HTTP/1.1" 200 30486
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/featur-2.jpg HTTP/1.1" 200 32809
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/featur-3.jpg HTTP/1.1" 200 47885
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/vegetable-item-3.png HTTP/1.1" 200 56672
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/vegetable-item-4.jpg HTTP/1.1" 200 13168
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/vegetable-item-1.jpg HTTP/1.1" 200 26589
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/vegetable-item-6.jpg HTTP/1.1" 200 35535
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/baner-1.png HTTP/1.1" 200 107781
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/vegetable-item-5.jpg HTTP/1.1" 200 24201
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/best-product-1.jpg HTTP/1.1" 200 50060
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/best-product-2.jpg HTTP/1.1" 200 60058
0:0:0:0:0:0:0:1 - - [02/May/2024:11:36:08 +0530] "GET /Project/img/best-product-3.jpg HTTP/1.1" 200 31701
