127.0.0.1 - - [04/Jun/2024:11:55:17 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/index.jsp HTTP/1.1" 200 36314
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/lib/animate/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/img/carousel-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/img/carousel-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/img/about.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/img/cat-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/img/cat-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/lib/easing/easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/lib/waypoints/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/lib/wow/wow.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/img/cat-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/img/course-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/img/cat-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/img/course-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/img/course-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/img/team-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/img/team-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/img/team-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/img/team-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/img/testimonial-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/img/testimonial-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/img/testimonial-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/img/testimonial-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:18 +0530] "GET /ELearning/img/favicon.ico HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:22 +0530] "GET /ELearning/user-register.jsp HTTP/1.1" 200 12511
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:25 +0530] "GET /ELearning/teacher-login.jsp HTTP/1.1" 200 12074
0:0:0:0:0:0:0:1 - - [04/Jun/2024:11:55:27 +0530] "GET /ELearning/teacher-register.jsp HTTP/1.1" 200 12517
